Aatf	Bak1	Unknown
Aatf	Bax	Unknown
Aatf	Bbc3	Unknown
Aatf	Cdkn1a	Unknown
Aatf	Tpt1	Activation
Aatf	Trp53	Activation
Abl1	Trp53	Unknown
Abl1	Trp73	Unknown
Aebp2	Jarid2	Unknown
Aebp2	Snai2	Unknown
Aes	Ihh	Activation
Ahr	Abcc4	Unknown
Ahr	Apaf1	Unknown
Ahr	Cyp19a1	Activation
Ahr	Cyp1a1	Activation
Ahr	Cyp1a1	Unknown
Ahr	Cyp1a2	Unknown
Ahr	Cyp1b1	Unknown
Ahr	E2f2	Unknown
Ahr	Gata4	Repression
Ahr	Gsta1	Activation
Ahr	Il17a	Repression
Ahr	Il17a	Unknown
Ahr	Il6	Repression
Ahr	Lhb	Unknown
Ahr	Nkx2-5	Repression
Ahr	Nkx3	Unknown
Ahr	Nqo1	Activation
Ahr	Nqo1	Unknown
Ahr	Pla2g4a	Activation
Ahr	Ptgs2	Activation
Ahr	Serpinb2	Unknown
Ahr	Sim1	Unknown
Ahr	Smoc2	Unknown
Ahr	Snai2	Activation
Ahr	Ugt1a6a	Activation
Ahr	Vav3	Activation
Aip	LOC100041004	Repression
Aire	Bmp2	Unknown
Aire	F11	Activation
Alx4	Fgf10	Activation
Ankrd1	Myl2	Repression
Ankrd1	Nppa	Repression
Apbb1	Lrp1	Repression
Apbb1	Notch1	Unknown
Apc	Ctnnb1	Unknown
Apc	Myc	Repression
Apc	Spp1	Activation
Apc	Tcf4	Activation
Apc	Trp53	Repression
Apex1	Apod	Unknown
Apex1	Blk	Activation
Apex1	Ccl12	Activation
Apex1	Nfkb1	Activation
Apex1	Nfkb1	Unknown
Apex1	Pax5	Activation
Apex1	Ptgs2	Activation
Apex1	Rela	Activation
Apex1	Tlr4	Repression
Ar	Ccr2	Activation
Ar	Cga	Repression
Ar	Fkbp5	Unknown
Ar	Foxa1	Unknown
Ar	Klkb1	Unknown
Ar	Nkx3-1	Activation
Ar	Nkx3-1	Unknown
Ar	Nr0b1	Repression
Ar	Psat1	Unknown
Ar	Runx2	Repression
Ar	Scnn1a	Activation
Ar	Sox2	Repression
Ar	Tnf	Activation
Ar	rsl	Activation
Arid3a	Cr2	Unknown
Arid3a	Igh	Activation
Arid3b	Igh	Activation
Arid5b	Sox9	Unknown
Arl6ip5	Parp1	Repression
Arl6ip5	Xrcc1	Activation
Arnt	Atxn3	Unknown
Arnt	Cyp1a1	Activation
Arnt	Cyp1a2	Unknown
Arnt	Cyp1b1	Unknown
Arnt	E2f2	Unknown
Arnt	Sim1	Unknown
Arnt	Th	Repression
Arntl	Bhlhb2	Activation
Arntl	Bhlhe40	Unknown
Arntl	Bhlhe41	Unknown
Arntl	Ctnnb1	Unknown
Arntl	Cxcl5	Unknown
Arntl	Dbp	Unknown
Arntl	Maoa	Unknown
Arntl	Nfe2l2	Repression
Arntl	Per1	Activation
Arntl	Per1	Unknown
Arntl	Per2	Activation
Arntl	Tcf3	Unknown
Arntl	Vwf	Repression
Arntl	Wnt10a	Unknown
Arntl2	Thbd	Unknown
Arx	Jarid1c	Unknown
Arx	Shh	Activation
Ascl1	Bub1	Activation
Ascl1	Cdkn2d	Activation
Ascl1	Dll3	Unknown
Ascl1	Dll4	Activation
Ascl1	Hes5	Unknown
Ascl1	Pdgfra	Activation
Ascl1	Phox2a	Activation
Ascl1	Rnd3	Activation
Ascl1	Tph2	Activation
Ash1l	Tgfb1	Unknown
Ash1l	Timp1	Unknown
Asxl1	Fabp4	Unknown
Atf1	Cebpb	Unknown
Atf1	Hspa5	Activation
Atf1	MTH1	Unknown
Atf1	Thbs1	Unknown
Atf2	Ccnd1	Activation
Atf2	Cebpa	Activation
Atf2	Entpd1	Activation
Atf2	Fgf21	Activation
Atf2	Fos	Activation
Atf2	Gabrb3	Activation
Atf2	Il23a	Repression
Atf2	Ins2	Activation
Atf2	Ins2	Unknown
Atf2	Per1	Unknown
Atf2	Pparg	Activation
Atf2	Rela	Activation
Atf2	Rhob	Activation
Atf2	Serpinb5	Activation
Atf2	Sox9	Unknown
Atf2	Tnf	Unknown
Atf2	Ucp1	Unknown
Atf3	Atf3	Repression
Atf3	Ccnd1	Activation
Atf3	Gck	Unknown
Atf3	Il12b	Repression
Atf3	Il6	Repression
Atf3	Pdx1	Repression
Atf3	Sort1	Repression
Atf3	Tnfrsf10b	Activation
Atf4	Bglap3	Unknown
Atf4	Cdkn1a	Activation
Atf4	Cdkn1b	Activation
Atf4	Ddr2	Activation
Atf4	Fgf15	Activation
Atf4	Fgf2	Unknown
Atf4	Hspa5	Activation
Atf4	Ihh	Unknown
Atf4	Il6	Activation
Atf4	Mcm7	Unknown
Atf4	Mir106b	Unknown
Atf4	Sphk2	Activation
Atf4	Trib3	Unknown
Atf6	Hspa5	Activation
Atf6	Wbp1	Activation
Atm	Cdkn1a	Repression
Atm	Sp7	Activation
Atm	Trp53	Activation
Atm	Trp53	Unknown
Atoh1	Barhl1	Activation
Atoh1	Hes6	Activation
Atoh1	Nr2f6	Activation
Atoh1	Pou4f3	Unknown
Bach1	Hbb	Repression
Bach1	Hmox1	Repression
Bach1	Hmox1	Unknown
Bach1	Mmp1a	Activation
Bach1	Trp53	Repression
Bach2	Prdm1	Repression
Barx2	Acta2	Unknown
Barx2	L1cam	Activation
Barx2	L1cam	Unknown
Barx2	Pax1	Unknown
Batf2	Ccl5	Activation
Batf2	Nos2	Activation
Batf2	Tnf	Activation
Batf3	Irf8	Activation
Bcl11a	Frzb	Activation
Bcl11b	Ahr	Repression
Bcl11b	Bcl2l1	Activation
Bcl11b	Cdkn1b	Activation
Bcl11b	Foxp3	Unknown
Bcl11b	Gfi1	Unknown
Bcl11b	Il10	Unknown
Bcl11b	Notch1	Unknown
Bcl11b	Runx3	Repression
Bcl11b	Zbyb7b	Repression
Bcl3	Ccnd1	Unknown
Bcl3	Ctsl	Unknown
Bcl3	Cxcl10	Unknown
Bcl3	Fbxo32	Unknown
Bcl3	Ifng	Unknown
Bcl3	Il23a	Unknown
Bcl3	Nfkb1	Repression
Bcl3	Nfkb1	Unknown
Bcl3	Nfkb2	Unknown
Bcl3	Nos1	Unknown
Bcl3	Runx1	Unknown
Bcl3	Tnf	Repression
Bcl3	Tnf	Unknown
Bcl3	Tnfaip3	Activation
Bcl3	Tnfrsf12a	Unknown
Bcl3	Trim63	Unknown
Bcl3	Ubc	Unknown
Bcl6	Batf	Repression
Bcl6	Bcl6	Repression
Bcl6	Cdkn1a	Repression
Bcl6	Cdkn1b	Repression
Bcl6	Cdkn2b	Repression
Bcl6	Csf1r	Activation
Bcl6	Gadd45a	Repression
Bcl6	Gata3	Activation
Bcl6	Gata3	Repression
Bcl6	Hdac7a	Repression
Bcl6	Ifng	Unknown
Bcl6	Il17a	Unknown
Bcl6	Il9	Repression
Bcl6	Mir21a	Repression
Bcl6	Myc	Activation
Bcl6	Prdm1	Repression
Bcl6	Rorc	Unknown
Bcl6	Socs2	Unknown
Bcl6	Tbx21	Unknown
Bcl6b	Rbpj	Unknown
Bhlhe40	Il2ra	Activation
Bmi1	Cdk1	Unknown
Bmi1	Cdkn1a	Repression
Bmi1	Cdkn1a	Unknown
Bmi1	Cdkn2a	Activation
Bmi1	Cdkn2a	Repression
Bmi1	Cdkn2a	Unknown
Bmi1	Cdkn2d	Repression
Bmi1	Dkk1	Unknown
Bmi1	E4f1	Activation
Bmi1	Hmga2	Repression
Bmi1	Ikzf1	Repression
Bmi1	Nanog	Activation
Bmi1	Nanog	Repression
Bmi1	Nfkb1	Activation
Bmi1	Pmaip1	Unknown
Bmi1	Pten	Unknown
Bmp4	Chst11	Activation
Bmp6	Mycn	Unknown
Brca1	Akt	Activation
Brca1	Cdkn1a	Activation
Brca1	Hmga2	Repression
Brca1	Mad2l1	Activation
Brca1	Mdm2	Activation
Brca1	Rad51	Activation
